date, pm25, pm10, o3, no2, so2, co
2024/2/20, 163, 70, 9, , , 3
2024/2/21, 130, 54, 14, , , 3
2024/2/22, 105, 72, , , , 3
2024/2/23, 151, 65, 22, , 1, 3
2024/2/24, 125, 45, 29, , 1, 3
2024/2/25, 88, 73, 27, 1, 1, 3
2024/2/26, 142, 60, 27, 4, , 2
2024/2/27, 116, 54, 32, 4, 2, 2
2024/2/28, 103, 57, 18, 4, 1, 3
2024/2/29, 109, 73, 23, 4, 1, 3
2024/3/1, 141, 63, 11, 4, , 2
2024/3/2, 123, 31, 14, 4, , 3
2024/3/3, 65, 41, 17, 4, , 3
2024/3/4, 82, 59, 29, 4, 3, 3
2024/3/5, 115, 58, 26, 4, 1, 3
2024/3/6, 114, 62, 19, 4, 2, 3
2024/3/7, 124, 40, 20, 4, 1, 2
2024/3/8, 83, 44, 7, 4, 1, 3
2024/3/9, 84, 61, 14, 4, 1, 4
2024/3/10, 147, 64, 17, 4, , 4
2024/3/11, 137, 61, 18, 5, 1, 4
2024/3/12, 129, 69, 21, 4, 1, 3
2024/3/13, 113, 59, 19, 4, , 4
2024/3/14, 108, , , , , 
2024/3/16, 141, 64, 6, 6, , 4
2024/3/17, 107, 69, 24, 5, 1, 4
2024/3/18, 125, 66, 25, 5, 1, 4
2024/3/19, 130, 66, 25, 5, 1, 4
2024/3/20, 125, 65, 24, 7, 1, 4
2024/3/21, 129, 91, 34, 5, 1, 4
2024/3/22, 131, 71, 32, 4, 3, 4
2024/3/23, 125, 61, 21, 4, 1, 4
2024/3/24, 107, 65, 24, 4, 1, 4
2024/3/25, 137, 74, 27, 4, 2, 4
2024/3/26, 138, 69, 31, 2, 2, 4
2024/3/27, 113, 70, 29, 3, 1, 3
2024/3/28, 111, 59, 15, 3, 1, 4
2024/3/29, 102, 63, 26, 3, 1, 11
2024/3/30, 98, 51, 27, 3, 1, 10
2024/3/31, 84, 71, 26, 4, 2, 10
2023/10/1, 97, , , , , 
2023/10/4, 90, 68, 17, 4, , 3
2023/10/5, 90, 67, 16, 4, , 3
2023/10/6, 88, 64, 21, 4, , 4
2023/10/7, 90, 66, 21, 4, , 4
2023/10/8, 108, 70, 22, 4, , 5
2023/10/9, 121, 56, 13, 4, , 6
2023/10/10, 81, 62, 20, 3, , 4
2023/10/11, 98, 54, 18, 3, , 4
2023/10/12, 101, 69, 20, 4, , 7
2023/10/13, 121, 73, 18, 4, , 15
2023/10/14, 127, 38, 20, 4, 1, 10
2023/10/16, 130, 92, 19, 4, , 5
2023/10/17, 153, 57, 20, 4, , 3
2023/10/18, 124, 60, 21, 4, , 4
2023/10/19, 103, 66, 19, 4, , 6
2023/10/20, 116, 71, 20, 4, , 9
2023/10/21, 127, 67, 22, 4, , 8
2023/10/22, 133, 60, 20, 4, , 5
2023/10/23, 127, 59, 23, 4, , 4
2023/10/24, 138, 68, 20, 4, , 15
2023/10/25, 134, 88, 23, 4, , 9
2023/10/26, 153, 78, 26, 4, 1, 8
2023/10/27, 149, 80, 25, 4, 1, 10
2023/10/28, 159, 79, 1, 4, 2, 8
2023/10/29, 168, 89, 28, 4, , 11
2023/10/30, 170, 83, 24, 4, , 9
2023/10/31, 163, 82, 25, 4, , 11
2023/11/1, 165, 94, 21, 4, , 12
